HOTEL_name,CITY_name,COUNTRY_name,PRICE_range,HOTEL_rating,amneties,HOTEL_address,HOTEL_review
Horizon Deluxe Lodge,Bengaluru,India,,2.5/5,"Laundry Service,Free Internet,Daily housekeeping,Room Service,","33/7, Pipe Line Road,Near Karantaka Bank And Behind RTO Office,Yeshwanthpur, Bengaluru - 560022 View on Map",1 Horrible
Avadh INN,Lucknow,India,,3.7/5,"Air Conditioning,Business Services,Power backup,Conference Room,","2/372, Vishal Khand, Gomti Nagar Lucknow, Lucknow - 226001, Near CMS - 226010 View on Map","Though i had reserved the rooms well in advance, there were no rooms available when i got there. The hotel staff/receptionist told me that the rooms were full and they could get us accommodation in another place. When i disagreed, they insisted me to look for another hotel. The hotel staff were rude and got into an argument with my driver as well.
I would not recommend this hotel to anybody."
Camp Thrillofun- Sandpiper,Rishikesh,India,,,,"Opp Madhuban Ashram, Dehradun - 249201 View on Map",
Ramdiri Residency,Ranchi,India,,3.1/5,"Air Conditioning,Laundry Service,CCTV surveillance,Power backup,","Harmu Bazar, Harmu Housing Colony,Near Panch Mandir road, Ranchi - 834002 View on Map",Bed Is to dirty and pillow is also dirty i have attached pic of both. Dead cockroach on bed Rat potty is also in bed Towel is so black and dirty i think never wash from a years.. Service is so poor and the staff is not reponding for anything so i have never seen dirty hotel in my life.
Hotel Dwaraka Residency,Thane,India,,3.4/5,"CCTV surveillance,Room Service,Daily housekeeping,Power backup,","Annapurna Bhavan, Wagle Indl. Estate road, 16th, main road Thane West Maharastra - 400604 View on Map","Parking available, nice food quality, good location"
Hotel Central,Ratlam,India,,2.4/5,"Daily housekeeping,","New Road, Shastri Nagar, Ratlam, 457001 View on Map",Stay is good. Visit Once. Little Improvement required.
Sun N Moon,Goa,India,,4.1/5,"Spa,Airport Transfer (on Demand),Parking Facility,Restaurant/Coffee Shop,","Palolem Hi-street, Palolem, Canacona - Goa. - 403702 View on Map","Good staff, neat and tidy rooms, walkable distance from the beach.
Looks like a home stay rather than a hotel. Price too high for something of this kind."
Hotel Shiwalik (HPTDC Government Hotel),Parwanoo,India,,3.7/5,"Doctor On Call,Power backup,Restaurant/Coffee Shop,Laundry Service,","Sector, Near HP Entry Toll Tax Barrier, Parwanoo (HP) - 173220 View on Map","great property ,nice ambience ,nice food, good staff"
Hotel New Samrat,"Aurangabad, Maharashtra",India,,3.4/5,"Power backup,Laundry Service,CCTV surveillance,Travel Assistance,","hamalwadi, behind RTO, near railway station, Aurangabad - 431005 View on Map",very third class hotel. I was never saw this type  hotel. do not go any costomer.
Arabian Nights Houseboats,Srinagar,India,,,"Dining,Power backup,Parking Facility,Daily housekeeping,","Dal Lake Ghat, Dal Lake Area, Srinagar - 190001 View on Map",
Kartik Inns Hospitality,Gurgaon,India,,3.1/5,"Power backup,Parking Facility,Laundry Service,Room Service,","Plot no 104 Sector-28 near DPS school on golf course road,Gurgaon - 122002 View on Map",gud services
Summer Green Guest House,Coorg,India,,4.3/5,"Power backup,Laundry Service,Travel Assistance,Dining,","Canara Bank building west branch ,opposite maitree ITI junction ,college road, Madikeri, Coorg - 571201 View on Map","Great location , really pleasant and clean rooms. but the thing that makes this such a good place to stay is the host. Mr and Mrs. Dinesh were really helpful and they served tasty breakfast for two days we stayed. They really maintain it well. Thanks so much for making our trip a good one. Will definitely visit you soon again and thanks for getting me those two plants."
Hotel Uppal Plaza,Rishikesh,India,,3/58 ,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","248 Ganga Vihar Colony, Haridwar Road, Rishikesh, 249201 View on Map","5 star.
Its very good hotel... Value for money
5 star.
Its very good hotel... Value for money
Good location easy to reach
Nice staff
Rooms are also good
Totally all over here is a very good experience "
Hotel Welcome,,,,3.9/5,"Doctor On Call,Air Conditioning,Parking Facility,CCTV surveillance,","9/1,New Colony,Near Panch Batti,M I Road, Jaipur - 302001 View on Map",Service staffs are very friendly.
Avisa Nila Beach Resort,Malvan,India,,4.2/5,"Free Internet,Swimming Pool,Outdoor Activities,Laundry Service,","115/1, Keluskarwadi, Deobag, Malwan - 416606 View on Map","About Resort: We had a great time at Avisa Nila Resort during our vacation to Devbag-Tarkarli. The location of resort is close to Devbag Sangam point and has easy access to a clean beach. We stayed in the glass cottage which were clean and well maintained.
About Restaurant (Chimney): The view from the first floor of restaurant is awesome. The food quality was good but make sure you order the food 30-40mins before you plan to take lunch/dinner as it takes time to serve it.
Staff: The st ...more"
Hotel Vakna,,,,2.4/5,"Laundry Service,Free Internet,Air Conditioning,Room Service,","Village Vakna ghat Teh Kandaghat, NH-22, shimla road, 173215 View on Map",Not bad it's good
Sri Nidhi Estate Stay,Coorg,India,,3.4/5,"Power backup,Parking Facility,CCTV surveillance,Outdoor Activities,","Beligiri Road, Mekeri Village, Coorg - 571201 View on Map",nice stay.. homely food.. nice staffs.. nice location.. overall good experience..
Hotel Green Valley a/c,Vijaywada,India,,3/510,"Air Conditioning,Parking Facility,Laundry Service,Power backup,","#12-10-8, 2nd Floor, Convent street, Tarapet, NEAR ONE TOWN POLICE STATION SIDE OF GANDHI PARK., Vijayawada - 520001 View on Map","Small room, no hot water, bathroom is not clean, bad lighting, no TV, only thing is it's near by railway station."
Swan Suites - Gayathri Nest,Hyderabad,India,,4/510,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","Swan Suites, Gayatri Nest 303 , 3rd Floor, Gayatri Nest, Street No., Telecom Nagar Colony, Gachibowli, Hyderabad, 500032 Landmark: Close to Cyberabad Commissioner office plot no 42/47 View on Map",awesome experience in this service apartment..it is called as a service apartment but it is not less than a hotel...excellent staff behaviour and hospitality....will visit once again sure ..
Chandani Residency,Mumbai,India,,3.4/5,"Room Service,","Opp Hindi high school., Mumbai - 400086 View on Map","Room are good nice location
staff are kind and polite
food taste is great
overall good exp."
Hotel Rajmahal,Chikmagalur,India,,3.3/5,"Air Conditioning,Laundry Service,CCTV surveillance,Power backup,",I.G road Chikmagalur - 577101 View on Map,"dirty rooms and bathroom, no hot water, no room service, wastage of money."
